event_id,latitude,longitude,event_date,state,dataset,source_dataset,source_id,landslide_type,physical_factors,reliability,spatial_accuracy,record_type,fatalities,injuries,LINK
459,27.09934081,93.60722373,2005-05-10,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,317,ND,rainfall (T),9,7360,event,9,-99999,Source: 'http://www.chennaionline.com/colnews/newsitem.asp?NEWSID=%7B19DDF273-C074-4F4B-8F6A-7073E718BAAB%7D&CATEGORYNAME=National'
654,28.03900639,94.67669495,2005-08-24,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,469,ND,rainfall (T),9,161555,event,1,-99999,Source: 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/EVIU-6FLDWC?OpenDocument'
239,27.65571323,91.9183042,2007-08-08,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1125,ND,rainfall (T),9,26162,event,4,-99999,Source: 'http://www.newkerala.com/july.php?action=fullnews&id=52815'
419,27.97227071,93.37841167,2008-02-22,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1321,ND,"anthropic (T,P)",9,45668,event,1,-99999,Source: 'http://www.assamtribune.com/scripts/details.asp?id=feb2408/at03'
449,27.27460429,93.58822996,2008-06-14,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1400,ND,rainfall (T),9,33533,event,9,-99999,Source: 'http://sify.com/news/fullstory.php?id=14694664'
473,27.0998,93.6287,2008-06-14,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,585,earth slide,rainfall (T),9,25000,report,21,0,Source: 'http://ukpress.google.com/article/ALeqM5iM8gWKcS4OLf66hwzNMnaybAaZYA'
486,27.12782115,93.71236396,2008-06-14,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1399,ND,rainfall (T),9,7108,event,7,-99999,Source: 'http://sify.com/news/fullstory.php?id=14694663'
450,27.27460429,93.58822996,2008-06-15,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1406,ND,rainfall (T),9,33533,event,3,-99999,Source: 'http://www.ptinews.com/pti%5Cptisite.nsf/0/3DF84923CE4C2A876525746900551AB5?OpenDocument'
270,27.4,92.35,2008-10-29,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,870,mudslide,rainfall (T),9,50000,report,12,0,Source: 'http://www.sindhtoday.net/south-asia/32058.htm'
288,27.43389881,92.51480639,2008-10-29,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1627,ND,rainfall (T),9,48346,event,4,-99999,Source: 'http://timesofindia.indiatimes.com/India/12_killed_in_Arunachal_Pradesh_landslides_flash_floods/articleshow/3653933.cms'
487,27.12782115,93.71236396,2009-04-30,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1806,ND,rainfall (T),9,7108,event,4,-99999,Source: 'http://www.hindu.com/thehindu/holnus/004200905011852.htm'
